id,customer_id,payment_method,transaction_date
1,529,Cash,"1986-09-21 02:40:53"
2,137,Online,"1991-07-22 12:49:50"
3,896,Online,"1988-02-06 08:13:41"
4,295,Online,"1991-09-15 19:10:47"
5,896,Cash,"1975-01-05 19:31:20"
6,892,Cash,"1986-06-26 03:27:33"
7,330,Online,"2006-03-27 23:40:50"
8,138,Cash,"1996-02-28 17:06:17"
9,246,"Credit Card","2007-11-14 09:30:28"
10,463,Online,"2013-11-14 08:06:13"
11,416,Online,"1973-11-11 02:16:09"
12,263,"Credit Card","1990-08-18 15:52:14"
13,24,Online,"1983-11-26 04:46:05"
14,44,Cash,"1996-10-08 19:39:40"
15,532,"Credit Card","2001-04-26 22:15:02"
16,819,Cash,"1994-05-14 03:44:36"
17,464,Online,"2014-04-05 05:01:01"
18,623,Online,"1988-08-20 21:34:04"
19,299,Cash,"2010-01-05 18:25:18"
20,298,"Credit Card","1980-03-17 09:27:54"
21,212,Cash,"2022-06-29 16:37:17"
22,135,Cash,"1984-05-08 18:35:51"
23,714,"Credit Card","1978-11-25 13:51:33"
24,567,Cash,"1993-10-25 15:55:00"
25,549,"Credit Card","1998-10-19 00:44:48"
26,50,Online,"1980-01-23 02:37:17"
27,744,"Credit Card","1972-08-11 13:48:49"
28,334,Cash,"2000-02-27 14:23:23"
29,855,"Credit Card","2014-01-24 15:07:18"
30,589,Cash,"1972-05-23 13:04:25"
31,984,Cash,"1999-09-20 19:52:35"
32,689,Online,"1987-06-15 07:01:16"
33,977,Cash,"2013-08-28 15:11:01"
34,81,Online,"2003-12-06 20:49:34"
35,422,"Credit Card","2006-06-17 13:05:16"
36,47,"Credit Card","1970-08-13 06:32:45"
37,987,Online,"2004-08-03 14:52:51"
38,301,Online,"1977-02-08 06:40:18"
39,860,Online,"2014-04-22 00:59:45"
40,285,"Credit Card","1981-06-19 16:56:08"
41,29,"Credit Card","1997-03-05 06:37:29"
42,854,Online,"1979-05-31 22:46:45"
43,534,Online,"1974-03-17 05:15:33"
44,659,Online,"1980-05-13 22:50:19"
45,722,"Credit Card","1999-12-20 19:39:34"
46,925,"Credit Card","1976-11-23 15:39:08"
47,311,Cash,"1995-12-08 02:58:55"
48,178,Online,"2000-09-20 05:08:02"
49,149,Online,"1978-06-05 23:46:31"
50,143,Cash,"1987-10-09 22:04:20"
51,441,Cash,"1981-11-10 12:50:23"
52,240,"Credit Card","1992-12-05 04:56:09"
53,708,"Credit Card","1971-12-01 12:00:26"
54,914,"Credit Card","2022-02-14 04:16:16"
55,204,Cash,"1984-10-18 10:21:13"
56,28,"Credit Card","2003-04-26 14:24:49"
57,427,"Credit Card","1981-10-17 22:37:32"
58,797,"Credit Card","1996-07-05 11:52:31"
59,889,Online,"2001-09-08 00:48:29"
60,814,Online,"1995-06-17 19:05:13"
61,573,Cash,"1977-06-16 19:17:29"
62,535,"Credit Card","2003-12-27 14:53:11"
63,821,Online,"2019-10-01 23:24:06"
64,498,Online,"1978-05-01 04:50:46"
65,505,Online,"1997-02-17 18:58:08"
66,321,Cash,"1982-02-22 20:53:27"
67,537,Cash,"2022-08-14 07:17:36"
68,777,Cash,"2005-08-22 14:10:08"
69,193,Online,"2008-05-07 17:53:37"
70,462,"Credit Card","1977-10-15 02:36:55"
71,130,"Credit Card","1990-12-02 21:14:55"
72,125,Online,"2017-09-28 19:16:39"
73,886,"Credit Card","2001-07-27 06:24:28"
74,847,Cash,"1988-04-26 19:18:32"
75,653,Cash,"2010-06-08 18:30:37"
76,942,"Credit Card","1977-07-28 22:57:48"
77,689,"Credit Card","2009-09-26 23:09:23"
78,959,Cash,"2017-02-23 03:52:52"
79,827,Cash,"2022-10-13 22:33:32"
80,406,Cash,"2022-04-19 00:19:19"
81,451,"Credit Card","1992-10-09 15:42:22"
82,811,Online,"2017-02-22 05:56:02"
83,2,"Credit Card","1983-03-20 13:32:50"
84,21,Cash,"2019-08-21 08:30:37"
85,399,Cash,"1983-06-23 18:03:57"
86,713,"Credit Card","1993-04-23 06:06:25"
87,87,"Credit Card","2015-08-01 04:35:11"
88,435,"Credit Card","2014-11-21 11:30:36"
89,67,"Credit Card","1975-01-16 14:58:08"
90,240,"Credit Card","1972-01-31 04:27:34"
91,889,Online,"2009-12-11 16:07:52"
92,556,Cash,"1989-04-23 03:09:32"
93,830,"Credit Card","2018-11-24 14:55:42"
94,446,Cash,"1986-01-25 04:24:32"
95,531,Online,"2019-03-10 14:25:49"
96,555,"Credit Card","1978-06-02 10:18:41"
97,975,Online,"1974-12-26 11:44:53"
98,84,Online,"1974-09-10 08:02:21"
99,971,Cash,"1999-05-10 10:41:31"
100,705,Cash,"2016-04-14 01:35:34"
101,982,Cash,"2016-07-15 21:03:50"
102,741,Online,"2011-03-20 13:04:37"
103,593,Cash,"2003-01-04 22:40:17"
104,694,"Credit Card","2012-10-27 09:32:32"
105,35,"Credit Card","1974-12-09 01:11:56"
106,440,"Credit Card","2015-04-05 23:46:56"
107,457,Online,"2020-01-21 18:17:43"
108,344,"Credit Card","1994-08-03 18:01:06"
109,600,Online,"1974-11-21 20:42:02"
110,311,Online,"1981-01-17 13:55:28"
111,17,Cash,"2016-09-27 20:12:35"
112,216,Online,"1991-06-12 07:52:21"
113,708,Online,"1991-02-20 17:05:34"
114,767,"Credit Card","1989-01-16 23:40:12"
115,266,"Credit Card","2022-07-22 04:47:23"
116,384,Cash,"2007-11-07 19:02:32"
117,358,Online,"1999-09-25 10:35:34"
118,977,"Credit Card","2010-01-07 08:18:26"
119,152,"Credit Card","2021-11-22 12:04:22"
